Pair Name	Domain1	SCOP ID1	Range1	Domain2	SCOP ID2	Range2	SCOP Class	SCOP Fold	SCOP Superfamily	SCOP Family	 SCOP Protein
d1vkwa_	1vkw_A1	d1vkwa_	(A1-A113)	1vkw_A2	d1vkwa_	(A114-A206)	Alpha and beta proteins (a+b)	FMN-dependent nitroreductase-like	FMN-dependent nitroreductase-like	Putative nitroreductase TM1586	Putative nitroreductase TM1586
d1vl4b_	1vl4_A1	d1vl4a_	(A2-A86)	1vl4_A2	d1vl4a_	(A91-A214)	Alpha and beta proteins (a+b)	Putative modulator of DNA gyrase, PmbA/TldD (Pfam 01523)	Putative modulator of DNA gyrase, PmbA/TldD (Pfam 01523)	Putative modulator of DNA gyrase, PmbA/TldD (Pfam 01523)	PmbA-related protein TM0727
d1vlba4	1vlb_A1	d1vlba4	(A350-A608)	1vlb_A2	d1vlba4	(A609-A907)	Alpha and beta proteins (a+b)	Molybdenum cofactor-binding domain	Molybdenum cofactor-binding domain	Molybdenum cofactor-binding domain	Aldehyde oxidoreductase
d1vlya2	1vly_A1	d1vlya2	(A115-A197)	1vly_A2	d1vlya2	(A26-A114)	Alpha and beta proteins (a+b)	Aminomethyltransferase folate-binding domain	Aminomethyltransferase folate-binding domain	Aminomethyltransferase folate-binding domain	Hypothetical protein YgfZ, N-terminal domain
d1vmoa__1	1vmo_A1	d1vmoa_	(A1-A28,A134-A163)	1vmo_A2	d1vmoa_	(A59-A81,A29-A58)	All beta proteins	beta-Prism I	Vitelline membrane outer protein-I (VMO-I)	Vitelline membrane outer protein-I (VMO-I)	Vitelline membrane outer protein-I (VMO-I)
d1vmoa__2	1vmo_A2	d1vmoa_	(A29-A81)	1vmo_A3	d1vmoa_	(A82-A133)	All beta proteins	beta-Prism I	Vitelline membrane outer protein-I (VMO-I)	Vitelline membrane outer protein-I (VMO-I)	Vitelline membrane outer protein-I (VMO-I)
d1vmoa__3	1vmo_A1	d1vmoa_	(A1-A28,A134-A163)	1vmo_A3	d1vmoa_	(A112-A133,A82-A111)	All beta proteins	beta-Prism I	Vitelline membrane outer protein-I (VMO-I)	Vitelline membrane outer protein-I (VMO-I)	Vitelline membrane outer protein-I (VMO-I)
d1wba___1	1wba_A1	d1wba__	(A2-A66)	1wba_A2	d1wba__	(A67-A126)	All beta proteins	beta-Trefoil	STI-like	Kunitz (STI) inhibitors	Winged bean albumin 1
d1wba___2	1wba_A2	d1wba__	(A67-A126)	1wba_A3	d1wba__	(A127-A172)	All beta proteins	beta-Trefoil	STI-like	Kunitz (STI) inhibitors	Winged bean albumin 1
d1wba___3	1wba_A1	d1wba__	(A2-A66)	1wba_A3	d1wba__	(A127-A172)	All beta proteins	beta-Trefoil	STI-like	Kunitz (STI) inhibitors	Winged bean albumin 1
d1ycqa_	1ycq_A1	d1ycqa_	(A21-A65)	1ycq_A2	d1ycqa_	(A66-A108)	All alpha proteins	SWIB/MDM2 domain	SWIB/MDM2 domain	SWIB/MDM2 domain	MDM2
d1yua_1	1yua_A1	d1yua_1	(A1-A63)	1yua_A2	d1yua_2	(A64-A122)	Small proteins	Rubredoxin-like	Zinc beta-ribbon	Prokaryotic DNA topoisomerase I, a C-terminal fragment	Prokaryotic DNA topoisomerase I, a C-terminal fragment
d2bmia_	2bmi_A1	d2bmia_	(A4-A116)	2bmi_A2	d2bmia_	(A117-A231)	Alpha and beta proteins (a+b)	Metallo-hydrolase/oxidoreductase	Metallo-hydrolase/oxidoreductase	Zn metallo-beta-lactamase	Zn metallo-beta-lactamase
d2bn2a_	2bn2_A1	d2bn2a_	(A1-A51)	2bn2_A2	d2bn2a_	(A52-A85)	All beta proteins	Neurophysin II	Neurophysin II	Neurophysin II	Neurophysin II
d2dri__	2dri_A1	d2dri__	(A1-A122)	2dri_A2	d2dri__	(A123-A271)	Alpha and beta proteins (a/b)	Periplasmic binding protein-like I	Periplasmic binding protein-like I	L-arabinose binding protein-like	D-ribose-binding protein
d2g3pa1	2g3p_A1	d2g3pa1	(A2-A105)	2g3p_A2	d2g3pa2	(A106-A219)	All beta proteins	N-terminal domains of the minor coat protein g3p	N-terminal domains of the minor coat protein g3p	N-terminal domains of the minor coat protein g3p	N-terminal domains of the minor coat protein g3p
d2gep_3	2gep_A3	d2gep_3	(A146-A345)	2gep_A4	d2gep_4	(A426-A570)	Alpha and beta proteins (a+b)	Sulfite reductase hemoprotein (SiRHP), domains 2 and 4	Sulfite reductase hemoprotein (SiRHP), domains 2 and 4	Sulfite reductase hemoprotein (SiRHP), domains 2 and 4	Sulfite reductase hemoprotein (SiRHP), domains 2 and 4
d2pspa1	2psp_A1	d2pspa1	(A2-A54)	2psp_A2	d2pspa2	(A55-A106)	Small proteins	Trefoil/Plexin domain-like	Trefoil	Trefoil	Pancreatic spasmolytic polypeptide
d2up1a1	2up1_A1	d2up1a1	(A8-A103)	2up1_A2	d2up1a2	(A104-A190)	Alpha and beta proteins (a+b)	Ferredoxin-like	RNA-binding domain, RBD	Canonical RBD	Nuclear ribonucleoprotein A1 (RNP A1, UP1)
d3ezma_	3ezm_A1	d3ezma_	(A1-A50)	3ezm_A2	d3ezma_	(A51-A101)	All beta proteins	Cyanovirin-N	Cyanovirin-N	Cyanovirin-N	Cyanovirin-N
d3pep__	3pep_A1	d3pep__	(A1-A170)	3pep_A2	d3pep__	(A171-A326)	All beta proteins	Acid proteases	Acid proteases	Pepsin-like	Pepsin(ogen)
d4csma_	4csm_A1	d4csma_	(A150-A243,A1-A25)	4csm_A2	d4csma_	(A26-A130,A131-A149)	All alpha proteins	Chorismate mutase II	Chorismate mutase II	Allosteric chorismate mutase	Allosteric chorismate mutase
d4proc1	4pro_C1	d4proc1	(C6-C86)	4pro_C2	d4proc2	(C87-C166)	Alpha and beta proteins (a+b)	Alpha-lytic protease prodomain-like	Alpha-lytic protease prodomain	Alpha-lytic protease prodomain	Alpha-lytic protease prodomain
d7acn_2	7acn_A1	d7acn_2	(A62-A192)	7acn_A3	d7acn_2	(A346-A475)	Alpha and beta proteins (a/b)	Aconitase iron-sulfur domain	Aconitase iron-sulfur domain	Aconitase iron-sulfur domain	Aconitase A, N-terminal domain
d8gep_1	8gep_A1	d8gep_1	(A81-A145)	8gep_A2	d8gep_2	(A346-A425)	Alpha and beta proteins (a+b)	Ferredoxin-like	Sulfite reductase, domains 1 and 3	Sulfite reductase, domains 1 and 3	Sulfite reductase, domains 1 and 3
